animosity,strong dislike
gullible,easily gulled
vivacious,lively high-spirited
cordial,warm and sincere
asterisk,the mark * (e.g.. omitted letters)
judicious,sound in judgment; wise
indulgent,inclined to indulge
ossified,turned to bone; hardened like bone; Inflexible
scribble,write hastily
mischievous,harmful; causing mischief
amalgamate,mix; combine; unite societies
yarn,tale story fibers for knitting
superimpose,put something on the top
arcane,known or understood by very few
gait,a manner of walking, stepping, or running"
warrant,authority written order guarantee
enduring,lasting
plea,request
coagulation,change to a thick and solid state
pertain,belong as a part have reference
philanthropist,one who loves mankind
shunned,avoided, kept away from"
volatile,changeable inconstant fickle unstable explosive
auxiliary,helping; supporting
partisan,one-sided committed to a party biased or prejudiced
impermeable,that cannot be permeated
liberality,free giving; generosity
entice,attract, lure"
sawdust,tiny bits of wood
chisel,steel tool for shaping materials
accolade,praise; approval
solvent,of the power of forming a solution
complaisant,trying to please; obliging
eloquence,fluent speaking skillful use of language
dupe,cheat make a fool of
fidelity,loyalty accuracy
alleviate,make (pain) easier to bear
connote,Suggest or imply in addition to the precise, literal meaning"
adulteration,making unpure; poorer in quality
luminary,star; light-giving body
dullard,a stupid, insensitive person"
engulf,swallow up
evoke,call up bring out
abysmal,extreme bad
incongruous,out of place; not in harmony or agreement
tonic,something giving strength or energy
tadpole,form of a frog when it leaves the egg
dwarf,person much smaller the usual size
turbulence,being uncontrollably violent
foster,nurture; care for
ambidextrous,able to use the left hand or the right equally well
sanity,health of mind soundness of judgment
predominate,have more power than others
clientele,customers
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
vigorous,strong energetic
shallow,little depth; not earnest
enzyme,catalyst
sadistic,Cruel
gerontocracy,government ruled by old people
redeem,get back by payment compensate
moribund,in a dying state; near death
moderation,quality of being limited; not extreme
legacy,Bequest or inheritance
retrospective,Looking back on past
correlate,have a mutual relation
benefactor,person who has given help
aberration,straying away from what is normal
extralegal,outside the law
nihilism,total rejection of all religious and moral beliefs
fragrant,sweet-smelling
boisterous,noisy; restraint
renovate,restore something to better condition
meticulous,giving great attention to details
infuriate,fill with fury or rage
impromptu,without preparation
rejuvenation,becoming young in nature or appearance
surcharge,additional load/charge
narcissism,Self-love
bewilder,puzzle; confuse
repulsive,causing a feeling of disgust
turmoil,trouble disturbance
patron,regular customer person who gives support
introspection,examining one's own thoughts and feelings
foolproof,incapable of failure or error
misanthrope,person who hates mankind
jabber,talk excitedly; utter rapidly
disallow,refuse to allow or accept as a correct
premature,doing or happening something before the right time
embezzle,use in a wrong way for one's own benefit
inclined,directing the mind in a certain direction
flop,fail/move/fall clumsily
erratic,irregular in behaviour or opinion
woo,try to win
ascend,go or come up
curriculum,course of study
agile,active; quick-moving
aggravate,make worse; irritate
limp,lacking strength; walking unevenly
weigh,measure how heavy something is
shard,A piece of broken pottery
paradigm,a model example or pattern
yeoman,man owning small estate; middle-class farmer
treacherous,not to be trusted, perfidious"
abide,be faithful; to endure
resuscitation,coming back to consciousness
suffice,be enough
bogus,sham; counterfeit; not genuine
steeply,rising or falling sharply
elaborate,worked out with much care in great detail
submerge,put under water liquid sink out of sight
dislodge,move force from the place occupied
brittle,easily broken
braggart,boastful
evasive,tending to evade
loll,rest to sit or stand in a lazy way hang (dog's tongue)
abscond,to go away suddenly (to avoid arrest)
succumb,yield, die"
alloy,to debase by mixing with something inferior
buoyant,able to float; light-hearted
constrict,make tight or smaller
sobriety,quality or condition of being sober
acclaimed,welcomed with shouts and approval
articulate,speak distinctly; connect by joints
dangle,hand or swing loosely
pest,destructive thing or a person who is nuisance
disrobe,undress
timid,shy easily frightened
indigenous,native
perish,be destroyed decay
mesmerize,hypnotize
poseur,a person who attempts to impress by acting unlike himself
immutable,that cannot be changed
sequence,succession connected line of
reconcile,settle a quarrel restore peace
impede,hinder; get in the way of
edible,fit to be eaten/not poisonous
extinct,no longer active
derivative,unoriginal; obtained from another source
hospitable,liking to give hospitality
abstruse,difficult to comprehend; obscure
pilferer,to steal, especially in small quantities"
drowsiness,feeling sleepy half asleep
ambiguous,doubtful; uncertain
implicit,implied though; not plainly expressed
extinguish,end the existence of/wipe or put out
presentiment,anticipatory fear; premonition
ameliorate,improve; make better
commemorate,keep the memory of
dormant,in a state of inactivity but awaiting development
recuperate,become strong after illness loss exhaustion
brass,yellow metal (mixing copper and zinc)
suffocate,cause or have difficulty in breathing
conceal,hide keep secret
reminiscent,suggest something in the past
salvage,the saving of property from loss
recitals,a number of performance of music
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
refine,make or become pure cultural
skit,short piece of humorous writing
malevolent,malicious; evil; having or showing ill will
allegiance,duty support loyalty
pivotal,of great importance (others depend on it)
repel,refuse to accept/cause dislike
affable,polite and friendly
affinity,close connection; relationship
divergence,getting farther apart from a point
endorse,write one's name on the back of
colloquial,involving or using conversation.
implosion,collapse; bursting inward
defer,postpone
mite,A very small amount, portion, or particle"
chortle,loud chuckle of pleasure or amusement
centurion,leader of a unit of 100 soldiers
stride,walk with long steps
audacious,Bold
arrogance,proud; superior manner of behaviour
acumen,Keen, quick, accurate insight or judgment"
clot,half-solid lump formed from liquid
ail,to cause pain, uneasiness, or trouble to."
adorn,add beauty; decorate
fragile,easily injured broken or destroyed
concur,agree in opinion happen together
sanction,approval (by authority) penalty
dexterity,skill (esp. in handling)
relapse,fall back again
grumble,to complain
opaqueness,dullness/not allowing light to pass through
sophisticated,complex; subtle; refined
spear,weapon with a metal point on a long shaft
cryptic,secret with a hidden meaning
dote,show much fondness center one's attention
gallant,brave,behaves well with women"
scent,smell (especially pleasant)
fleet,number of ships; quick-moving
euphoria,elation state of pleasant excitement
parenthesis,sentence within another one something separated
stray,wander lose one's way
perjury,willful FALSE statement unlawful act
invincible,too strong to be defeated
pluck,pull the feathers off pick (e.g.. flowers)
hypocrisy,falsely making oneself appear to be good
eradicate,get rid of pull up by the roots
appease,make quiet or calm
reiterate,say or do again several times
odor,smell
writ,written order
console,give comfort or sympathy to
combustion,process of burning
commuter,person who travels regularly
calipers,metal supports attached to the legs measuring instrument
edify,instruct; correct morally
sponge,porous rubber for washing live at once expense
renowned,celebrated; famous
satiate,satisfy fully
permeate,spread into every part of
garrulous,too talkative
introvert,one who turns towards himself
retrograde,receding
apt,well-suited; quick-witted
massacre,cruel killing of a large number of people
beguile,mislead or delude; cheat; pass time
antidote,medicine used against a poison or a disease
anguish,severe suffering
abhor,to hate; to detest
eulogy,formal praise panegyric
sporadic,happening from time to time
strive,to make great efforts, to struggle"
catalyst,substance that causes speeding up
livid,Furiously angry, enraged"
sluggard,lazy slow-moving person
malleable,yielding easily shaped; moldable; adapting
forgery,counterfeit
ambivalent,having both of two contrary meanings
somersault,rolling backward or forward (not sideways) movement
lampoon,publicly mock or ridicule
torque,twisting force causing rotation
conjoin,to join together
tractable,easily controlled or guided
offhand,Without preparation or forethought
equilibrium,state of being balanced
Lambaste,attack verbally
grievous,causing grief or pain; serious dire grave
ingest,take in by swallowing
negligent,taking too little care
enigma,something that is puzzling
knit,draw together; unite firmly
indistinct,not easily heard; seen clearly marked
sheath,cover for the blade of a weapon or a tool
unscathed,unharmed unhurt
endeavor,to make an effort, to try very hard"
encapsulate,enclose in capsule
flimsy,lacking solidarity, strength"
connoisseur,a person with good judgement (e.g.. in art)
cumbersome,burdensome; heavy and awkward to carry
heterogeneous,made up of different kinds
precursors,a person or thing that precedes, as in a process or job."
fission,splitting or division (esp. of cells)
riddle,puzzling person or thing
apartheid,brutal racial discrimination
disproof,proof to the contrary
misogynist,one who hates women/females
